2013-12-18 15:36:09 Notice: Notice (8): Undefined variable: replyTo in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 414]
2013-12-18 15:38:46 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-18 15:38:46 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-18 15:50:51 Notice: Notice (8): Undefined variable: project_id in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 455]
2013-12-18 18:21:13 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-18 18:28:15 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-18 19:36:10 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-19 02:49:35 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-19 10:58:01 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-19 14:48:39 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-19 15:45:44 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-19 18:22:01 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-19 22:14:02 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-20 13:50:01 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-20 15:11:09 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-20 18:31:23 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-20 18:31:23 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-20 21:46:01 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-20 22:05:27 Notice: Notice (8): Undefined index: end_date in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1022]
2013-12-20 22:42:02 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-21 03:56:01 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-21 06:03:03 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-21 11:26:38 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
2013-12-21 11:26:38 Notice: Notice (8): Undefined index: video_file in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 282]
2013-12-21 11:28:02 Notice: Notice (8): Undefined variable: country_val in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 255]
